varlab,grouplab,n,pct_stay,n_cont,pct_continue,chi2,pval,df
Primary sector,Music creative,1359,64.75349521707138,1359,90.36055923473143,1.251318785760754,.534908597283871,2
Primary sector,Music industry,444,61.93693693693694,444,84.68468468468468,1.251318785760754,.534908597283871,2
Primary sector,Venue or presenter,96,65.625,96,85.41666666666666,1.251318785760754,.534908597283871,2
Years of experience,Under 3 years,120,66.66666666666666,120,93.33333333333333,38.51819684940738,2.19542399471e-08,3
Years of experience,3 to 5 years,181,62.98342541436463,181,88.39779005524862,38.51819684940738,2.19542399471e-08,3
Years of experience,6 to 10 years,340,49.70588235294117,340,82.94117647058825,38.51819684940738,2.19542399471e-08,3
Years of experience,More than 10 years,1255,67.80876494023904,1255,90.0398406374502,38.51819684940738,2.19542399471e-08,3
Music income from local gigs,None,85,54.11764705882353,85,83.52941176470588,14.41878393758432,.0060717214897466,4
Music income from local gigs,Very little,195,62.05128205128205,195,90.25641025641026,14.41878393758432,.0060717214897466,4
Music income from local gigs,Some,271,73.43173431734317,271,97.41697416974169,14.41878393758432,.0060717214897466,4
Music income from local gigs,Most,425,65.41176470588236,425,94.11764705882352,14.41878393758432,.0060717214897466,4
Music income from local gigs,All,143,61.53846153846154,143,82.51748251748252,14.41878393758432,.0060717214897466,4
Work space status,Owns work space,51,64.70588235294117,51,94.11764705882352,4.876212774086542,.1810891258693688,3
Work space status,Rents work space,182,67.03296703296702,182,93.4065934065934,4.876212774086542,.1810891258693688,3
Work space status,Needs but lacks work space,398,59.79899497487438,398,86.4321608040201,4.876212774086542,.1810891258693688,3
Work space status,Provided or not needed,426,66.43192488262912,426,89.67136150234741,4.876212774086542,.1810891258693688,3
Housing tenure,Homeowner,758,75.46174142480211,758,91.95250659630607,84.22464623762389,5.13866669560e-19,2
Housing tenure,Renter,688,52.32558139534884,688,86.04651162790698,84.22464623762389,5.13866669560e-19,2
Housing tenure,Other or unstable housing,174,63.2183908045977,174,90.80459770114942,84.22464623762389,5.13866669560e-19,2
Health insurance,No health insurance,254,53.14960629921261,254,83.46456692913385,15.69048451949188,.000074598520988,1
Health insurance,Has health insurance,1390,66.11510791366906,1390,89.92805755395683,15.69048451949188,.000074598520988,1
