="Conditional earnings gap for music occupations, Texas workers 18-64 with positive earnings, ACS 2020-2024 5-year PUMS, SDR standard errors"

="",="(1)",="(2)",="(3)"
="",="Metro FE only",="Plus demographics",="Plus hours and weeks"

="Musician, singer, music director or composer",="-0.5667***",="-0.6748***",="-0.2897***"
="",="(0.0705)",="(0.0658)",="(0.0540)"
="1.metro",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)"
="2.metro",="-0.1135***",="-0.0322***",="-0.0494***"
="",="(0.0073)",="(0.0066)",="(0.0058)"
="3.metro",="-0.1785***",="-0.0797***",="-0.0835***"
="",="(0.0082)",="(0.0081)",="(0.0070)"
="4.metro",="-0.4039***",="-0.1860***",="-0.2147***"
="",="(0.0067)",="(0.0067)",="(0.0061)"
="5.metro",="-0.2955***",="-0.1564***",="-0.1589***"
="",="(0.0088)",="(0.0085)",="(0.0066)"
="Age",="",="0.1380***",="0.0746***"
="",="",="(0.0009)",="(0.0007)"
="Age squared",="",="-0.0014***",="-0.0007***"
="",="",="(0.0000)",="(0.0000)"
="0.female",="",="0.0000",="0.0000"
="",="",="(.)",="(.)"
="Female",="",="-0.4283***",="-0.2687***"
="",="",="(0.0034)",="(0.0027)"
="1.schlbin",="",="0.0000",="0.0000"
="",="",="(.)",="(.)"
="2.schlbin",="",="0.3105***",="0.2191***"
="",="",="(0.0061)",="(0.0050)"
="3.schlbin",="",="0.4729***",="0.3790***"
="",="",="(0.0062)",="(0.0053)"
="4.schlbin",="",="0.9215***",="0.7769***"
="",="",="(0.0071)",="(0.0059)"
="5.schlbin",="",="1.1677***",="1.0002***"
="",="",="(0.0063)",="(0.0054)"
="Usual hours per week",="",="",="0.0268***"
="",="",="",="(0.0002)"
="Weeks worked past 12 months",="",="",="0.0400***"
="",="",="",="(0.0003)"
="_cons",="10.9053***",="7.3755***",="5.7240***"
="",="(0.0061)",="(0.0197)",="(0.0165)"

="Unweighted observations",="554672.0000",="554672.0000",="554672.0000"
="Weighted population",="13586108.0000",="13586108.0000",="13586108.0000"
="R-squared",="0.0157",="0.2775",="0.5210"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
